Method,Accuracy,F-Measure,,,,
,,supert.,subt.,same-as,other,overall
FT SB,0.95,0.944,0.945,0.95,0.958,0.949
AF+RF,0.581,0.472,0.477,0.526,0.734,0.552
AF+GB,0.772,0.75,0.756,0.675,0.863,0.761
YF+RF,0.581,0.472,0.477,0.526,0.734,0.552
YF+GB,0.83,0.824,0.824,0.716,0.901,0.816
AF+SB+RF,0.952,0.945,0.945,0.95,0.964,0.951
AF+SB+GB,0.952,0.944,0.946,0.95,0.966,0.951
YF+SB+RF,0.952,0.946,0.947,0.948,0.964,0.951
YF+SB+GB,0.952,0.945,0.946,0.948,0.965,0.951
GPT4-t. CoT,0.698,0.634,0.643,0.671,0.803,0.688
GPT4-t. STD,0.737,0.667,0.66,0.786,0.822,0.734
GPT3.5 CoT,0.38,0.43,0.441,0.403,0.12,0.348
GPT3.5 STD,0.297,0.428,0.225,0.011,0.155,0.205
GPT4-m. FT,0.934,0.922,0.929,0.906,0.965,0.93
