Method,Precision,,,,Recall,,,
,supert.,subt.,same-as,other,supert.,subt.,same-as,other
FT SB,0.95,0.955,0.942,0.949,0.938,0.935,0.959,0.968
AF+RF,0.544,0.548,0.643,0.596,0.417,0.423,0.446,0.953
AF+GB,0.778,0.779,0.643,0.841,0.724,0.734,0.711,0.886
YF+RF,0.544,0.548,0.643,0.596,0.417,0.423,0.446,0.953
YF+GB,0.838,0.838,0.752,0.855,0.809,0.81,0.684,0.952
AF+SB+RF,0.946,0.954,0.942,0.96,0.943,0.937,0.959,0.968
AF+SB+GB,0.944,0.954,0.942,0.963,0.945,0.937,0.959,0.968
YF+SB+RF,0.948,0.955,0.937,0.961,0.944,0.938,0.959,0.967
YF+SB+GB,0.948,0.953,0.938,0.962,0.941,0.939,0.959,0.968
GPT4-t. CoT,0.605,0.69,0.906,0.72,0.667,0.602,0.533,0.908
GPT4-t. STD,0.697,0.725,0.871,0.72,0.639,0.606,0.715,0.957
GPT3.5 CoT,0.369,0.336,0.616,0.594,0.516,0.639,0.403,0.12
GPT3.5 STD,0.291,0.258,1,0.564,0.809,0.2,0.005,0.896
GPT4-m. FT,0.911,0.923,0.91,0.98,0.933,0.936,0.902,0.95
